Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday
1,2,2014-09-30,4919,550,1,1,0,0
2,2,2014-09-30,8461,839,1,1,0,0
3,2,2014-09-30,12260,1084,1,1,0,0
4,2,2014-09-30,12659,1486,1,1,0,0
5,2,2014-09-30,6633,676,1,1,0,0
6,2,2014-09-30,7320,786,1,1,0,0
7,2,2014-09-30,12636,1177,1,1,0,0
8,2,2014-09-30,9061,915,1,1,0,0
9,2,2014-09-30,8663,730,1,1,0,0
10,2,2014-09-30,6790,697,1,1,0,0
11,2,2014-09-30,10627,1278,1,1,0,0
12,2,2014-09-30,11440,1123,1,1,0,0
14,2,2014-09-30,8444,791,1,1,0,0
15,2,2014-09-30,10574,886,1,1,0,0
16,2,2014-09-30,10286,1082,1,1,0,0
17,2,2014-09-30,11566,1243,1,1,0,0
18,2,2014-09-30,10042,936,1,1,0,0
19,2,2014-09-30,9442,809,1,1,0,0
21,2,2014-09-30,9405,734,1,1,0,0
23,2,2014-09-30,6134,502,1,1,0,0
24,2,2014-09-30,16957,1258,1,1,0,0
25,2,2014-09-30,15395,1930,1,1,0,0
26,2,2014-09-30,9090,670,1,1,0,0
27,2,2014-09-30,18037,1600,1,1,0,0
28,2,2014-09-30,7463,761,1,1,0,0
29,2,2014-09-30,10997,861,1,1,0,0
30,2,2014-09-30,6696,880,1,1,0,0
31,2,2014-09-30,7600,676,1,1,0,0
33,2,2014-09-30,10898,960,1,1,0,0
34,2,2014-09-30,10466,1118,1,1,0,0
35,2,2014-09-30,16933,1095,1,1,0,0
37,2,2014-09-30,8539,796,1,1,0,0
38,2,2014-09-30,8067,642,1,1,0,0
39,2,2014-09-30,7428,865,1,1,0,0
40,2,2014-09-30,5567,721,1,1,0,0
42,2,2014-09-30,16693,1543,1,1,0,0
43,2,2014-09-30,10856,820,1,1,0,0
44,2,2014-09-30,6651,744,1,1,0,0
45,2,2014-09-30,6427,442,1,1,0,0
47,2,2014-09-30,11421,1227,1,1,0,0
48,2,2014-09-30,4579,427,1,1,0,0
49,2,2014-09-30,8694,631,1,1,0,0
50,2,2014-09-30,5636,421,1,1,0,0
53,2,2014-09-30,6158,599,1,1,0,0
54,2,2014-09-30,8284,668,1,1,0,0
55,2,2014-09-30,6312,700,1,1,0,0
56,2,2014-09-30,9470,617,1,1,0,0
57,2,2014-09-30,12029,1075,1,1,0,0
59,2,2014-09-30,9299,831,1,1,0,0
60,2,2014-09-30,11139,920,1,1,0,0
61,2,2014-09-30,7163,682,1,1,0,0
62,2,2014-09-30,8252,877,1,1,0,0
63,2,2014-09-30,8782,732,1,1,0,0
64,2,2014-09-30,16244,1096,1,1,0,0
65,2,2014-09-30,8520,678,1,1,0,0
66,2,2014-09-30,7922,603,1,1,0,0
67,2,2014-09-30,10408,1032,1,1,0,0
68,2,2014-09-30,6715,1023,1,1,0,0
69,2,2014-09-30,11516,1309,1,1,0,0
70,2,2014-09-30,8680,772,1,1,0,0
71,2,2014-09-30,12748,920,1,1,0,0
73,2,2014-09-30,6104,650,1,1,0,0
74,2,2014-09-30,8709,1060,1,1,0,0
75,2,2014-09-30,6803,637,1,1,0,0
77,2,2014-09-30,10810,795,1,1,0,0
78,2,2014-09-30,4784,560,1,1,0,0
79,2,2014-09-30,7359,677,1,1,0,0
80,2,2014-09-30,8197,575,1,1,0,0
82,2,2014-09-30,14070,1145,1,1,0,0
83,2,2014-09-30,4064,356,1,1,0,0
84,2,2014-09-30,17189,1663,1,1,0,0
85,2,2014-09-30,8594,1093,1,1,0,0
86,2,2014-09-30,8305,885,1,1,0,0
87,2,2014-09-30,6998,828,1,1,0,0
88,2,2014-09-30,8865,798,1,1,0,0
90,2,2014-09-30,11950,1358,1,1,0,0
91,2,2014-09-30,9894,902,1,1,0,0
92,2,2014-09-30,8224,657,1,1,0,0
93,2,2014-09-30,8853,764,1,1,0,0
94,2,2014-09-30,9924,771,1,1,0,0
95,2,2014-09-30,11377,1171,1,1,0,0
96,2,2014-09-30,9877,912,1,1,0,0
97,2,2014-09-30,9004,799,1,1,0,0
98,2,2014-09-30,8046,603,1,1,0,0
101,2,2014-09-30,10534,957,1,1,0,0
102,2,2014-09-30,11885,1381,1,1,0,0
103,2,2014-09-30,5431,444,1,1,0,0
104,2,2014-09-30,11234,1330,1,1,0,0
105,2,2014-09-30,5819,688,1,1,0,0
106,2,2014-09-30,9634,910,1,1,0,0
107,2,2014-09-30,9619,1120,1,1,0,0
109,2,2014-09-30,7865,787,1,1,0,0
110,2,2014-09-30,5330,643,1,1,0,0
111,2,2014-09-30,9718,732,1,1,0,0
112,2,2014-09-30,6730,778,1,1,0,0
114,2,2014-09-30,6565,636,1,1,0,0
116,2,2014-09-30,8329,825,1,1,0,0
117,2,2014-09-30,4725,580,1,1,0,0
118,2,2014-09-30,11653,845,1,1,0,0
119,2,2014-09-30,6849,688,1,1,0,0
120,2,2014-09-30,11118,860,1,1,0,0
121,2,2014-09-30,6200,603,1,1,0,0
122,2,2014-09-30,8380,910,1,1,0,0
123,2,2014-09-30,12356,1367,1,1,0,0
124,2,2014-09-30,7708,807,1,1,0,0
125,2,2014-09-30,16132,1906,1,1,0,0
126,2,2014-09-30,7787,638,1,1,0,0
128,2,2014-09-30,12377,802,1,1,0,0
130,2,2014-09-30,8265,741,1,1,0,0
131,2,2014-09-30,5143,520,1,1,0,0
133,2,2014-09-30,9455,981,1,1,0,0
134,2,2014-09-30,5733,603,1,1,0,0
135,2,2014-09-30,8263,679,1,1,0,0
138,2,2014-09-30,9911,924,1,1,0,0
140,2,2014-09-30,10532,1176,1,1,0,0
141,2,2014-09-30,6610,680,1,1,0,0
142,2,2014-09-30,5892,684,1,1,0,0
